"Table 1. Life table for the total population: United States, 2015",,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person–years lived between ages x and x + 1,Total number of person–years lived above age x,Expectation of life at age x
,qx,lx,dx,Lx,Tx,ex
0–1,0.005894,"100,000",589,"99,483","7,872,239",78.7
1–2,0.000403,"99,411",40,"99,391","7,772,756",78.2
2–3,0.000252,"99,371",25,"99,358","7,673,366",77.2
3–4,0.000193,"99,345",19,"99,336","7,574,008",76.2
4–5,0.000145,"99,326",14,"99,319","7,474,672",75.3
5–6,0.000143,"99,312",14,"99,305","7,375,353",74.3
6–7,0.000128,"99,298",13,"99,291","7,276,048",73.3
7–8,0.000116,"99,285",11,"99,279","7,176,757",72.3
8–9,0.000104,"99,273",10,"99,268","7,077,478",71.3
9–10,0.000095,"99,263",9,"99,258","6,978,210",70.3
10–11,0.000091,"99,254",9,"99,249","6,878,951",69.3
11–12,0.000098,"99,245",10,"99,240","6,779,702",68.3
12–13,0.000125,"99,235",12,"99,229","6,680,462",67.3
13–14,0.000174,"99,222",17,"99,214","6,581,234",66.3
14–15,0.000241,"99,205",24,"99,193","6,482,020",65.3
15–16,0.000314,"99,181",31,"99,166","6,382,827",64.4
16–17,0.000388,"99,150",39,"99,131","6,283,661",63.4
17–18,0.000473,"99,112",47,"99,088","6,184,530",62.4
18–19,0.000566,"99,065",56,"99,037","6,085,442",61.4
19–20,0.000660,"99,009",65,"98,976","5,986,405",60.5
20–21,0.000757,"98,943",75,"98,906","5,887,429",59.5
21–22,0.000846,"98,868",84,"98,827","5,788,523",58.5
22–23,0.000914,"98,785",90,"98,740","5,689,696",57.6
23–24,0.000958,"98,694",95,"98,647","5,590,957",56.6
24–25,0.000984,"98,600",97,"98,551","5,492,310",55.7
25–26,0.001004,"98,503",99,"98,454","5,393,758",54.8
26–27,0.001028,"98,404",101,"98,354","5,295,305",53.8
27–28,0.001056,"98,303",104,"98,251","5,196,951",52.9
28–29,0.001094,"98,199",107,"98,145","5,098,700",51.9
29–30,0.001138,"98,092",112,"98,036","5,000,555",51.0
30–31,0.001185,"97,980",116,"97,922","4,902,519",50.0
31–32,0.001232,"97,864",121,"97,804","4,804,597",49.1
32–33,0.001277,"97,743",125,"97,681","4,706,793",48.2
33–34,0.001318,"97,619",129,"97,554","4,609,112",47.2
34–35,0.001359,"97,490",133,"97,424","4,511,558",46.3
35–36,0.001408,"97,357",137,"97,289","4,414,134",45.3
36–37,0.001468,"97,220",143,"97,149","4,316,846",44.4
37–38,0.001535,"97,077",149,"97,003","4,219,697",43.5
38–39,0.001608,"96,928",156,"96,851","4,122,694",42.5
39–40,0.001690,"96,773",164,"96,691","4,025,843",41.6
40–41,0.001790,"96,609",173,"96,523","3,929,152",40.7
