age,x,x+n,nax,nbx,ndx,nsx,nqx,bg_utl
0-1,0,1,0.2,1,589,"100,000",0.005894,1.000
1-4,1,4,1.4,3,99,"99,411",0.000994,1.000
5–6,5,6,0.5,1,14,"99,312",0.000143,1.000
6–7,6,7,0.5,1,13,"99,298",0.000128,1.000
7–8,7,8,0.5,1,11,"99,285",0.000116,1.000
8–9,8,9,0.5,1,10,"99,273",0.000104,1.000
9–10,9,10,0.5,1,9,"99,263",0.000095,1.000
10–11,10,11,0.5,1,9,"99,254",0.000091,1.000
11–12,11,12,0.5,1,10,"99,245",0.000098,1.000
12–13,12,13,0.5,1,12,"99,235",0.000125,1.000
13–14,13,14,0.5,1,17,"99,222",0.000174,1.000
14–15,14,15,0.5,1,24,"99,205",0.000241,1.000
15–16,15,16,0.5,1,31,"99,181",0.000314,1.000
16–17,16,17,0.5,1,39,"99,150",0.000388,1.000
17–18,17,18,0.5,1,47,"99,112",0.000473,1.000
18–19,18,19,0.5,1,56,"99,065",0.000566,0.922
19–20,19,20,0.5,1,65,"99,009",0.000660,0.922
20–21,20,21,0.5,1,75,"98,943",0.000757,0.922
21–22,21,22,0.5,1,84,"98,868",0.000846,0.922
22–23,22,23,0.5,1,90,"98,785",0.000914,0.922
23–24,23,24,0.5,1,95,"98,694",0.000958,0.922
24–25,24,25,0.5,1,97,"98,600",0.000984,0.922
25–26,25,26,0.5,1,99,"98,503",0.001004,0.922
26–27,26,27,0.5,1,101,"98,404",0.001028,0.922
27–28,27,28,0.5,1,104,"98,303",0.001056,0.922
28–29,28,29,0.5,1,107,"98,199",0.001094,0.922
29–30,29,30,0.5,1,112,"98,092",0.001138,0.922
30–31,30,31,0.5,1,116,"97,980",0.001185,0.901
31–32,31,32,0.5,1,121,"97,864",0.001232,0.901
32–33,32,33,0.5,1,125,"97,743",0.001277,0.901
33–34,33,34,0.5,1,129,"97,619",0.001318,0.901
34–35,34,35,0.5,1,133,"97,490",0.001359,0.901
35–36,35,36,0.5,1,137,"97,357",0.001408,0.901
36–37,36,37,0.5,1,143,"97,220",0.001468,0.901
37–38,37,38,0.5,1,149,"97,077",0.001535,0.901
38–39,38,39,0.5,1,156,"96,928",0.001608,0.901
39–40,39,40,0.5,1,164,"96,773",0.001690,0.901
40–41,40,41,0.5,1,173,"96,609",0.001790,0.871
41–42,41,42,0.5,1,184,"96,436",0.001909,0.871
42–43,42,43,0.5,1,197,"96,252",0.002043,0.871
43–44,43,44,0.5,1,210,"96,055",0.002191,0.871
44–45,44,45,0.5,1,226,"95,845",0.002360,0.871
45–46,45,46,0.5,1,243,"95,619",0.002541,0.871
46–47,46,47,0.5,1,262,"95,376",0.002752,0.871
47–48,47,48,0.5,1,287,"95,113",0.003018,0.871
48–49,48,49,0.5,1,317,"94,826",0.003346,0.871
49–50,49,50,0.5,1,351,"94,509",0.003717,0.871
50–51,50,51,0.5,1,386,"94,158",0.004098,0.842
51–52,51,52,0.5,1,420,"93,772",0.004481,0.842
52–53,52,53,0.5,1,456,"93,352",0.004885,0.842
53–54,53,54,0.5,1,494,"92,896",0.005319,0.842
54–55,54,55,0.5,1,534,"92,402",0.005781,0.842
55–56,55,56,0.5,1,576,"91,867",0.006271,0.842
56–57,56,57,0.5,1,618,"91,291",0.006775,0.842
57–58,57,58,0.5,1,661,"90,673",0.007291,0.842
58–59,58,59,0.5,1,704,"90,012",0.007824,0.842
59–60,59,60,0.5,1,749,"89,307",0.008383,0.842
60–61,60,61,0.5,1,796,"88,559",0.008991,0.823
61–62,61,62,0.5,1,847,"87,763",0.009652,0.823
62–63,62,63,0.5,1,900,"86,915",0.010353,0.823
63–64,63,64,0.5,1,953,"86,016",0.011081,0.823
64–65,64,65,0.5,1,"1,007","85,062",0.011838,0.823
65–66,65,66,0.5,1,"1,062","84,055",0.012634,0.823
66–67,66,67,0.5,1,"1,121","82,994",0.013510,0.823
67–68,67,68,0.5,1,"1,187","81,872",0.014504,0.823
68–69,68,69,0.5,1,"1,264","80,685",0.015664,0.823
69–70,69,70,0.5,1,"1,355","79,421",0.017059,0.823
70–71,70,71,0.5,1,"1,465","78,066",0.018766,0.79
71–72,71,72,0.5,1,"1,585","76,601",0.020689,0.79
72–73,72,73,0.5,1,"1,704","75,016",0.022709,0.79
73–74,73,74,0.5,1,"1,818","73,313",0.024795,0.79
74–75,74,75,0.5,1,"1,936","71,495",0.027078,0.79
75–76,75,76,0.5,1,"2,060","69,559",0.029614,0.79
76–77,76,77,0.5,1,"2,194","67,499",0.032507,0.79
77–78,77,78,0.5,1,"2,337","65,305",0.035786,0.79
78–79,78,79,0.5,1,"2,495","62,968",0.039616,0.79
79–80,79,80,0.5,1,"2,662","60,473",0.044017,0.79
80–81,80,81,0.5,1,"2,827","57,811",0.048899,0.736
81–82,81,82,0.5,1,"2,985","54,985",0.054283,0.736
82–83,82,83,0.5,1,"3,139","52,000",0.060367,0.736
83–84,83,84,0.5,1,"3,271","48,861",0.066954,0.736
84–85,84,85,0.5,1,"3,398","45,589",0.074533,0.736
85–86,85,86,0.5,1,"3,489","42,192",0.082695,0.736
86–87,86,87,0.5,1,"3,583","38,702",0.092575,0.736
87–88,87,88,0.5,1,"3,632","35,120",0.103427,0.736
88–89,88,89,0.5,1,"3,630","31,487",0.115296,0.736
89–90,89,90,0.5,1,"3,572","27,857",0.128216,0.736
90–91,90,91,0.5,1,"3,454","24,285",0.142211,0.736
91–92,91,92,0.5,1,"3,277","20,832",0.157287,0.736
92–93,92,93,0.5,1,"3,045","17,555",0.173433,0.736
93–94,93,94,0.5,1,"2,766","14,510",0.190616,0.736
94–95,94,95,0.5,1,"2,452","11,744",0.208781,0.736
95–96,95,96,0.5,1,"2,117","9,292",0.227849,0.736
96–97,96,97,0.5,1,"1,777","7,175",0.247716,0.736
97–98,97,98,0.5,1,"1,448","5,398",0.268256,0.736
98–99,98,99,0.5,1,"1,143","3,950",0.289323,0.736
99–100,99,100,0.5,1,872,"2,807",0.310754,0.736
100 and over,100,102.2843435,2.284343481,2.284343481,"1,935","1,935",1.000000,0.736
