age,x,x+n,nax,nbx,ndx,nsx,nqx,bg_utl
0-1,0,1,0.2,1,538,"100,000",0.005380,1.000
1-4,1,4,1.4,3,86,"99,462",0.000865,1.000
5–6,5,6,0.5,1,12,"99,376",0.000121,1.000
6–7,6,7,0.5,1,11,"99,364",0.000111,1.000
7–8,7,8,0.5,1,10,"99,353",0.000101,1.000
8–9,8,9,0.5,1,9,"99,343",0.000091,1.000
9–10,9,10,0.5,1,9,"99,334",0.000091,1.000
10–11,10,11,0.5,1,9,"99,325",0.000091,1.000
11–12,11,12,0.5,1,10,"99,316",0.000101,1.000
12–13,12,13,0.5,1,11,"99,306",0.000111,1.000
13–14,13,14,0.5,1,14,"99,295",0.000141,1.000
14–15,14,15,0.5,1,17,"99,281",0.000171,1.000
15–16,15,16,0.5,1,21,"99,264",0.000212,1.000
16–17,16,17,0.5,1,25,"99,243",0.000252,1.000
17–18,17,18,0.5,1,29,"99,218",0.000292,1.000
18–19,18,19,0.5,1,33,"99,189",0.000333,0.922
19–20,19,20,0.5,1,36,"99,156",0.000363,0.922
20–21,20,21,0.5,1,40,"99,120",0.000404,0.922
21–22,21,22,0.5,1,43,"99,080",0.000434,0.922
22–23,22,23,0.5,1,46,"99,037",0.000464,0.922
23–24,23,24,0.5,1,49,"98,991",0.000495,0.922
24–25,24,25,0.5,1,51,"98,942",0.000515,0.922
25–26,25,26,0.5,1,54,"98,891",0.000546,0.922
26–27,26,27,0.5,1,56,"98,837",0.000567,0.922
27–28,27,28,0.5,1,59,"98,781",0.000597,0.922
28–29,28,29,0.5,1,63,"98,722",0.000638,0.922
29–30,29,30,0.5,1,68,"98,659",0.000689,0.922
30–31,30,31,0.5,1,73,"98,591",0.000740,0.901
31–32,31,32,0.5,1,78,"98,518",0.000792,0.901
32–33,32,33,0.5,1,83,"98,440",0.000843,0.901
33–34,33,34,0.5,1,87,"98,357",0.000885,0.901
34–35,34,35,0.5,1,91,"98,270",0.000926,0.901
35–36,35,36,0.5,1,95,"98,179",0.000968,0.901
36–37,36,37,0.5,1,101,"98,084",0.001030,0.901
37–38,37,38,0.5,1,107,"97,983",0.001092,0.901
38–39,38,39,0.5,1,114,"97,876",0.001165,0.901
39–40,39,40,0.5,1,122,"97,762",0.001248,0.901
40–41,40,41,0.5,1,132,"97,640",0.001352,0.871
41–42,41,42,0.5,1,142,"97,508",0.001456,0.871
42–43,42,43,0.5,1,154,"97,366",0.001582,0.871
43–44,43,44,0.5,1,166,"97,212",0.001708,0.871
44–45,44,45,0.5,1,179,"97,046",0.001844,0.871
45–46,45,46,0.5,1,194,"96,867",0.002003,0.871
46–47,46,47,0.5,1,210,"96,673",0.002172,0.871
47–48,47,48,0.5,1,230,"96,463",0.002384,0.871
48–49,48,49,0.5,1,254,"96,233",0.002639,0.871
49–50,49,50,0.5,1,280,"95,979",0.002917,0.871
50–51,50,51,0.5,1,306,"95,699",0.003198,0.842
51–52,51,52,0.5,1,332,"95,393",0.003480,0.842
52–53,52,53,0.5,1,360,"95,061",0.003787,0.842
53–54,53,54,0.5,1,389,"94,701",0.004108,0.842
54–55,54,55,0.5,1,419,"94,312",0.004443,0.842
55–56,55,56,0.5,1,451,"93,893",0.004803,0.842
56–57,56,57,0.5,1,485,"93,442",0.005190,0.842
57–58,57,58,0.5,1,517,"92,957",0.005562,0.842
58–59,58,59,0.5,1,549,"92,440",0.005939,0.842
59–60,59,60,0.5,1,581,"91,891",0.006323,0.842
60–61,60,61,0.5,1,615,"91,310",0.006735,0.823
61–62,61,62,0.5,1,654,"90,695",0.007211,0.823
62–63,62,63,0.5,1,697,"90,041",0.007741,0.823
63–64,63,64,0.5,1,746,"89,344",0.008350,0.823
64–65,64,65,0.5,1,800,"88,598",0.009030,0.823
65–66,65,66,0.5,1,856,"87,798",0.009750,0.823
66–67,66,67,0.5,1,917,"86,942",0.010547,0.823
67–68,67,68,0.5,1,985,"86,025",0.011450,0.823
68–69,68,69,0.5,1,"1,062","85,040",0.012488,0.823
69–70,69,70,0.5,1,"1,152","83,978",0.013718,0.823
70–71,70,71,0.5,1,"1,259","82,826",0.015201,0.79
71–72,71,72,0.5,1,"1,378","81,567",0.016894,0.79
72–73,72,73,0.5,1,"1,499","80,189",0.018693,0.79
73–74,73,74,0.5,1,"1,614","78,690",0.020511,0.79
74–75,74,75,0.5,1,"1,736","77,076",0.022523,0.79
75–76,75,76,0.5,1,"1,867","75,340",0.024781,0.79
76–77,76,77,0.5,1,"2,006","73,473",0.027303,0.79
77–78,77,78,0.5,1,"2,165","71,467",0.030294,0.79
78–79,78,79,0.5,1,"2,345","69,302",0.033837,0.79
79–80,79,80,0.5,1,"2,534","66,957",0.037845,0.79
80–81,80,81,0.5,1,"2,720","64,423",0.042221,0.736
81–82,81,82,0.5,1,"2,900","61,703",0.046999,0.736
82–83,82,83,0.5,1,"3,101","58,803",0.052735,0.736
83–84,83,84,0.5,1,"3,288","55,702",0.059028,0.736
84–85,84,85,0.5,1,"3,464","52,414",0.066089,0.736
85–86,85,86,0.5,1,"3,611","48,950",0.073769,0.736
86–87,86,87,0.5,1,"3,768","45,339",0.083107,0.736
87–88,87,88,0.5,1,"3,885","41,571",0.093455,0.736
88–89,88,89,0.5,1,"3,952","37,686",0.104867,0.736
89–90,89,90,0.5,1,"3,960","33,734",0.117389,0.736
90–91,90,91,0.5,1,"3,902","29,774",0.131054,0.736
91–92,91,92,0.5,1,"3,774","25,872",0.145872,0.736
92–93,92,93,0.5,1,"3,577","22,098",0.161870,0.736
93–94,93,94,0.5,1,"3,316","18,521",0.179040,0.736
94–95,94,95,0.5,1,"3,000","15,205",0.197304,0.736
95–96,95,96,0.5,1,"2,643","12,205",0.216551,0.736
96–97,96,97,0.5,1,"2,264","9,562",0.236771,0.736
97–98,97,98,0.5,1,"1,881","7,298",0.257742,0.736
98–99,98,99,0.5,1,"1,514","5,417",0.279490,0.736
99–100,99,100,0.5,1,"1,177","3,903",0.301563,0.736
