age,x,x+n,nax,nbx,ndx,nsx,nqx,bg_utl
0-1,0,1,0.2,1,639,"100,000",0.006387,1.000
1-4,1,4,1.4,3,111,"99,361",0.001118,1.000
5–6,5,6,0.5,1,16,"99,250",0.000164,1.000
6–7,6,7,0.5,1,15,"99,234",0.000147,1.000
7–8,7,8,0.5,1,13,"99,219",0.000132,1.000
8–9,8,9,0.5,1,11,"99,206",0.000116,1.000
9–10,9,10,0.5,1,10,"99,195",0.000100,1.000
10–11,10,11,0.5,1,9,"99,185",0.000092,1.000
11–12,11,12,0.5,1,10,"99,176",0.000100,1.000
12–13,12,13,0.5,1,14,"99,166",0.000137,1.000
13–14,13,14,0.5,1,21,"99,152",0.000208,1.000
14–15,14,15,0.5,1,30,"99,132",0.000307,1.000
15–16,15,16,0.5,1,41,"99,101",0.000411,1.000
16–17,16,17,0.5,1,51,"99,061",0.000519,1.000
17–18,17,18,0.5,1,64,"99,009",0.000646,1.000
18–19,18,19,0.5,1,78,"98,945",0.000791,0.922
19–20,19,20,0.5,1,93,"98,867",0.000941,0.922
20–21,20,21,0.5,1,108,"98,774",0.001095,0.922
21–22,21,22,0.5,1,122,"98,666",0.001233,0.922
22–23,22,23,0.5,1,132,"98,544",0.001336,0.922
23–24,23,24,0.5,1,137,"98,412",0.001396,0.922
24–25,24,25,0.5,1,140,"98,275",0.001426,0.922
25–26,25,26,0.5,1,142,"98,135",0.001445,0.922
26–27,26,27,0.5,1,144,"97,993",0.001470,0.922
27–28,27,28,0.5,1,147,"97,849",0.001497,0.922
28–29,28,29,0.5,1,150,"97,702",0.001534,0.922
29–30,29,30,0.5,1,154,"97,553",0.001577,0.922
30–31,30,31,0.5,1,158,"97,399",0.001623,0.901
31–32,31,32,0.5,1,162,"97,241",0.001667,0.901
32–33,32,33,0.5,1,166,"97,079",0.001709,0.901
33–34,33,34,0.5,1,170,"96,913",0.001750,0.901
34–35,34,35,0.5,1,173,"96,743",0.001793,0.901
35–36,35,36,0.5,1,178,"96,569",0.001845,0.901
36–37,36,37,0.5,1,184,"96,391",0.001910,0.901
37–38,37,38,0.5,1,190,"96,207",0.001979,0.901
38–39,38,39,0.5,1,197,"96,017",0.002052,0.901
39–40,39,40,0.5,1,205,"95,820",0.002134,0.901
40–41,40,41,0.5,1,214,"95,615",0.002238,0.871
41–42,41,42,0.5,1,226,"95,401",0.002367,0.871
42–43,42,43,0.5,1,239,"95,175",0.002515,0.871
43–44,43,44,0.5,1,255,"94,936",0.002684,0.871
44–45,44,45,0.5,1,273,"94,681",0.002879,0.871
45–46,45,46,0.5,1,292,"94,409",0.003089,0.871
46–47,46,47,0.5,1,314,"94,117",0.003339,0.871
47–48,47,48,0.5,1,344,"93,803",0.003662,0.871
48–49,48,49,0.5,1,380,"93,459",0.004070,0.871
49–50,49,50,0.5,1,422,"93,079",0.004537,0.871
50–51,50,51,0.5,1,465,"92,657",0.005022,0.842
51–52,51,52,0.5,1,508,"92,191",0.005510,0.842
52–53,52,53,0.5,1,553,"91,683",0.006027,0.842
53–54,53,54,0.5,1,600,"91,131",0.006583,0.842
54–55,54,55,0.5,1,650,"90,531",0.007177,0.842
55–56,55,56,0.5,1,701,"89,881",0.007801,0.842
56–57,56,57,0.5,1,753,"89,180",0.008444,0.842
57–58,57,58,0.5,1,806,"88,427",0.009116,0.842
58–59,58,59,0.5,1,861,"87,621",0.009826,0.842
59–60,59,60,0.5,1,918,"86,760",0.010584,0.842
60–61,60,61,0.5,1,980,"85,842",0.011413,0.823
61–62,61,62,0.5,1,"1,044","84,862",0.012301,0.823
62–63,62,63,0.5,1,"1,107","83,818",0.013202,0.823
63–64,63,64,0.5,1,"1,164","82,711",0.014075,0.823
64–65,64,65,0.5,1,"1,218","81,547",0.014931,0.823
65–66,65,66,0.5,1,"1,270","80,330",0.015806,0.823
66–67,66,67,0.5,1,"1,327","79,060",0.016783,0.823
67–68,67,68,0.5,1,"1,391","77,733",0.017892,0.823
68–69,68,69,0.5,1,"1,466","76,342",0.019205,0.823
69–70,69,70,0.5,1,"1,559","74,876",0.020817,0.823
70–71,70,71,0.5,1,"1,672","73,317",0.022804,0.79
71–72,71,72,0.5,1,"1,793","71,646",0.025029,0.79
72–73,72,73,0.5,1,"1,911","69,852",0.027354,0.79
73–74,73,74,0.5,1,"2,025","67,942",0.029799,0.79
74–75,74,75,0.5,1,"2,140","65,917",0.032458,0.79
75–76,75,76,0.5,1,"2,257","63,777",0.035395,0.79
76–77,76,77,0.5,1,"2,387","61,520",0.038807,0.79
77–78,77,78,0.5,1,"2,515","59,133",0.042532,0.79
78–79,78,79,0.5,1,"2,653","56,618",0.046850,0.79
79–80,79,80,0.5,1,"2,802","53,965",0.051917,0.79
80–81,80,81,0.5,1,"2,949","51,163",0.057631,0.736
81–82,81,82,0.5,1,"3,087","48,215",0.064030,0.736
82–83,82,83,0.5,1,"3,198","45,128",0.070871,0.736
83–84,83,84,0.5,1,"3,280","41,929",0.078217,0.736
84–85,84,85,0.5,1,"3,359","38,650",0.086915,0.736
85–86,85,86,0.5,1,"3,396","35,290",0.096237,0.736
86–87,86,87,0.5,1,"3,433","31,894",0.107643,0.736
87–88,87,88,0.5,1,"3,419","28,461",0.120117,0.736
88–89,88,89,0.5,1,"3,348","25,042",0.133690,0.736
89–90,89,90,0.5,1,"3,219","21,694",0.148381,0.736
90–91,90,91,0.5,1,"3,033","18,475",0.164189,0.736
91–92,91,92,0.5,1,"2,796","15,442",0.181092,0.736
92–93,92,93,0.5,1,"2,517","12,646",0.199046,0.736
93–94,93,94,0.5,1,"2,208","10,129",0.217981,0.736
94–95,94,95,0.5,1,"1,884","7,921",0.237802,0.736
95–96,95,96,0.5,1,"1,560","6,037",0.258386,0.736
96–97,96,97,0.5,1,"1,252","4,477",0.279591,0.736
97–98,97,98,0.5,1,972,"3,225",0.301252,0.736
98–99,98,99,0.5,1,728,"2,254",0.323189,0.736
99–100,99,100,0.5,1,527,"1,525",0.345214,0.736
100 and over,100,102.2843435,2.284343481,2.284343481,999,999,1.000000,0.736
